neighbor-Test,path_three_nodes-Test
1.0,1.0
0.5,0.5
0.2, 0.8
0.6, 0.4
0.5,0.5
0.2, 0.8
0.6, 0.4
0.5,0.5
0.2, 0.8
0.6, 0.4
0.5,0.5
0.2, 0.8
0.6, 0.4
1.0,1.0
0.5,0.5
0.2, 0.8
0.6, 0.4
0.5,0.5
0.2, 0.8
0.6, 0.4
0.5,0.5
0.2, 0.8
0.6, 0.4
0.5,0.5
0.2, 0.8
0.6, 0.4
1.0,1.0
0.5,0.5
0.2, 0.8
0.6, 0.4
0.5,0.5
0.2, 0.8
0.6, 0.4
0.5,0.5
0.2, 0.8
0.6, 0.4
0.5,0.5
0.2, 0.8
0.6, 0.4
1.0,1.0
0.5,0.5
0.2, 0.8
0.6, 0.4
0.5,0.5
0.2, 0.8
0.6, 0.4
0.5,0.5
0.2, 0.8
0.6, 0.4
0.5,0.5
0.2, 0.8
0.6, 0.4
0.2, 0.8
0.6, 0.4
0.5,0.5
0.2, 0.8
0.6, 0.4
0.5,0.5
0.2, 0.8
0.6, 0.4sfsf,testCondition,false,false,true,false
sdadada,testCondition,true,true,false,true
