PColor,Appearance.Node Color,255-255-0-255
PFileInput,Load Positions,C:\Users\Mershack\Documents\pos5.txt
PInteger,Appearance.Node Size,23
PInteger,Appearance.Node Size,24
PInteger,Appearance.Node Size,25
PInteger,Appearance.Node Size,26
PInteger,Appearance.Node Size,27
PInteger,Appearance.Node Size,28
PInteger,Appearance.Node Size,29
PInteger,Appearance.Node Size,30
PInteger,Appearance.Node Size,31
PInteger,Appearance.Node Size,32
PInteger,Appearance.Node Size,33
PInteger,Appearance.Node Size,34
PInteger,Appearance.Node Size,35
PInteger,Appearance.Node Size,36
PInteger,Appearance.Node Size,37
PInteger,Appearance.Node Size,38
PInteger,Appearance.Node Size,39
PInteger,Appearance.Node Size,40
PInteger,Appearance.Node Size,41
PInteger,Appearance.Node Size,42
PInteger,Appearance.Node Size,43
PInteger,Appearance.Node Size,44
PInteger,Appearance.Node Size,45
PInteger,Appearance.Node Size,46
PInteger,Appearance.Node Size,47
PInteger,Appearance.Node Size,48
PInteger,Appearance.Node Size,49
PInteger,Appearance.Node Size,50
